שם,עיר,אזור,קטגוריה,קיבולת,קהל יעד,מספר אולמות במתחם,טלפון,אימייל,קישור
שמורתה גן אירועים צפון,אפק,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.openclosed.co.il
אולמי פאר בראשית,עפולה,צפון,מתחם רב-אולמי,,,1,04-6597478,,https://peerhalls.com
RED אולם,תל עדשים,צפון,אולם חתונות גדול,,,1,,,https://peerhalls.com
גן אירועים אחוזת דוברובין,צפון,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.openclosed.co.il
נוף ציפורי גן,הושעיה,צפון,גן אירועים,,,1,,,https://www.d.co.il
סיטי הול,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://www.mit4mit.co.il
מלון יהודה ב,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://www.mit4mit.co.il
קסיופיאה,הרצליה,מרכז,אולם חתונות גדול,,,1,,,https://www.mit4mit.co.il
דימול פלטינום,רמת גן,מרכז,אולם חתונות גדול,,,1,,,https://www.mit4mit.co.il
שמים וארץ,בית הראשונים,שרון,גן אירועים,,,1,,,https://www.mit4mit.co.il
מלון יהודה ג,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://www.mit4mit.co.il
טרה רוסה,שרון,שרון,אולם קטן/בוטיק,,,1,,,https://www.mit4mit.co.il
Pop and Pope,תל אביב,מרכז,לופט/אורבני,,,1,,,https://www.mit4mit.co.il
מונדו MONDO 2000,תל אביב,מרכז,לופט/אורבני,,,1,07-23909969,,https://www.mit4mit.co.il
EVE תל אביב,תל אביב,מרכז,אולם קטן/בוטיק,,,1,,,https://www.d.co.il
ואסקו,חולון,מרכז,אולם קטן/בוטיק,,,1,07-23971549,,https://www.mit4mit.co.il
אריא,ירושלים,ירושלים והסביבה,לופט/אורבני,,,1,,,https://urbanbridesmag.co.il
L1TLV,תל אביב,מרכז,לופט/אורבני,,,1,,,https://urbanbridesmag.co.il
סורא מארה,תל אביב,מרכז,לופט/אורבני,,,1,,,https://urbanbridesmag.co.il
צ'יטה ורדה,תל אביב,מרכז,גן אירועים,,,1,,,https://urbanbridesmag.co.il
רוקח,תל אביב,מרכז,גן אירועים,,,1,,,https://urbanbridesmag.co.il
גלריה נור,יפו,מרכז,לופט/אורבני,,,1,,,https://urbanbridesmag.co.il
שרביה יפו,יפו,מרכז,לופט/אורבני,,,1,,,https://mekomot-eruim.co.il
5.91 Beach House,נתניה,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
CYRUS עמק חפר,עמק חפר,שרון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
מתחם אחוזת סנדרין,רגבה,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.d.co.il
גן הבריכה,כפר המכבי,צפון,גן אירועים,,,1,,,https://www.d.co.il
אולמי אלראביה,מעיליא,צפון,אולם חתונות גדול,,,1,,,https://www.d.co.il
אולמי גלורי,חיפה,צפון,אולם חתונות גדול,,,1,,,https://www.d.co.il
BLOOM חיפה,חיפה,צפון,לופט/אורבני,,,1,,,https://www.d.co.il
אולמי המשכן,קרית ים,צפון,אולם חתונות גדול,,,1,,,https://www.d.co.il
ירוק על המים,חולדה,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.d.co.il
גני דלוינו,פתח תקווה,מרכז,גן אירועים,,,1,,,https://www.d.co.il
ארמונות לב המחודשים,אשקלון,דרום,אולם חתונות גדול,,,1,,,https://www.d.co.il
גני אליזה / רוקה,בנימינה,שרון,גן אירועים,1000,כללי,1,,,https://www.d.co.il
מסעדת מנהטן,רמת גן,מרכז,לופט/אורבני,,,1,,,https://www.d.co.il
שורשים,יהוד,מרכז,גן אירועים,,,1,,,https://www.d.co.il
בית האופרה אשדוד,אשדוד,דרום,לופט/אורבני,,,1,,,https://www.d.co.il
גני דניאל דימונה,דימונה,דרום,גן אירועים,,,1,,,https://easy.co.il
אולם אידאה,עפולה,צפון,מתחם רב-אולמי,160,כללי,2,,,https://www.b144.co.il
גני שמשון,אשקלון,דרום,גן אירועים,200,כללי,1,,,https://mekomot-eruim.co.il
אולמי בית שלמה,בית שמש,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://rotter.net
אולמי אמרלד בית שמש,בית שמש,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://rotter.net
אולמי פארהנד,בית שמש,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://rotter.net
אולמי כינור דוד,בית שמש,ירושלים והסביבה,אולם בבית כנסת/קהילתי,,חרדי,1,,,https://rotter.net
מתחם סהרה,בת עין,ירושלים והסביבה,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rotter.net
אוביליון כנסים,מודיעין עילית,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://rotter.net
קלרה בית לאירועים,קרית גת,דרום,אולם קטן/בוטיק,,,1,,,https://rotter.net
רב טובך,ירושלים,ירושלים והסביבה,אולם בבית כנסת/קהילתי,,חרדי,1,,,https://rotter.net
WIDE OPEN רמת ישי,רמת ישי,צפון,לופט/אורבני,150,כללי,1,,,https://mekomot-eruim.co.il
ביסטרו הכרמל,זכרון יעקב,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
בית המוכתר זכרון,זכרון יעקב,שרון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
Mataim זכרון,זכרון יעקב,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
Tel-Ya נתניה,נתניה,שרון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
Olamey de Garden נתניה,נתניה,שרון,גן אירועים,,,1,,,https://rsrv.rest
Hakerem VIP נתניה,נתניה,שרון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
חצרות הסולטן,חיפה,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.britot.co.il
גלריה 279,חיפה,צפון,לופט/אורבני,,,1,,,https://www.britot.co.il
בנוז אירועים,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://www.britot.co.il
אתנחתא,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://www.britot.co.il
עתיקה אירועים,קרית ביאליק,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.britot.co.il
בית הסטייק,נשר,צפון,אולם קטן/בוטיק,,,1,,,https://www.britot.co.il
Hakerem נתניה,נתניה,שרון,אולם קטן/בוטיק,,,1,,,https://www.britot.co.il
ALMORA אירועים,נתניה,שרון,גן אירועים,,,1,,,https://www.britot.co.il
KO HOTEL,נתניה,שרון,מתחם רב-אולמי,270,דתי-לאומי,2,,,https://www.britot.co.il
נועל'ה כפר סבא,כפר סבא,שרון,מתחם רב-אולמי,600,כללי,3,,,https://www.britot.co.il
נועל'ה רעננה,רעננה,שרון,אולם קטן/בוטיק,300,דתי-לאומי,1,,,https://www.britot.co.il
עלמרי Almare,ראשון לציון,מרכז,אולם קטן/בוטיק,180,דתי-לאומי,1,,,https://www.britot.co.il
מייפל גן אירועים,פתח תקווה,מרכז,גן אירועים,,,1,,,https://www.b144.co.il
פראיסו אירועים,ראשון לציון,מרכז,גן אירועים,350,כללי,1,,,https://www.b144.co.il
אוריאנה אירועים,אור יהודה,מרכז,אולם חתונות גדול,,,1,,,https://www.b144.co.il
אקפלה נתניה,נתניה,שרון,לופט/אורבני,230,כללי,1,,,https://www.b144.co.il
אואזיס חדרה,חדרה,שרון,אולם קטן/בוטיק,200,כללי,1,,,https://www.b144.co.il
ויגו אירועים,קרית עקרון,שפלה,גן אירועים,,,1,,,https://www.b144.co.il
Sakoya מעלה החמישה,מעלה החמישה,ירושלים והסביבה,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.mazalday.com
מתחם ביאנקיני ים המלח,ים המלח,דרום,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://mekomot-eruim.co.il
ויגו חולון,חולון,מרכז,גן אירועים,,,1,,,https://www.openclosed.co.il
VISION הגן באורה,אורה,ירושלים והסביבה,גן אירועים,,,1,,,https://www.openclosed.co.il
ASTRA אירועי בוטיק,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://www.openclosed.co.il
סקויה אולם אירועים,רחובות,מרכז,אולם קטן/בוטיק,,,1,,,https://www.openclosed.co.il
הבוסתן,אבו גוש,ירושלים והסביבה,גן אירועים,,,1,,,https://www.openclosed.co.il
שאטו אולם אירועים,מרכז,מרכז,אולם חתונות גדול,,,1,,,https://www.openclosed.co.il
אולמי נצח ישראל,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://www.openclosed.co.il
אולמות אירועים קרית שמונה,קרית שמונה,צפון,אולם חתונות גדול,,,1,,,https://www.openclosed.co.il
תרין,ראשון לציון,מרכז,גן אירועים,,,1,,,https://www.openclosed.co.il
Awadieh Halls,צפון,צפון,אולם חתונות גדול,,,1,,,https://www.openclosed.co.il
